Node,Size,Mass,Color,Real Mass (kg)
Hyperion,10,1,#F0D288,5.6E+18
Hyrrokkin,10,1,#F0D288,
Iapetus,10,1,#F0D288,1.81E+21
Ijiraq,10,1,#F0D288,
Janus,10,1,#F0D288,1.9E+18
Jarnsaxa,10,1,#F0D288,
Kari,10,1,#F0D288,
Kiviuq,10,1,#F0D288,
Loge,10,1,#F0D288,
Methone,10,1,#F0D288,
Mimas,10,1,#F0D288,3.79E+19
Mundilfari,10,1,#F0D288,
Narvi,10,1,#F0D288,
Paaliaq,10,1,#F0D288,
Pallene,10,1,#F0D288,
Pan,10,1,#F0D288,5E+15
Pandora,10,1,#F0D288,1.4E+17
Phoebe,10,1,#F0D288,8.3E+18
Polydeuces,10,1,#F0D288,
Prometheus,10,1,#F0D288,1.6E+17
Rhea,10,1,#F0D288,2.31E+21
Siarnaq,10,1,#F0D288,
Skathi,10,1,#F0D288,
Skoll,10,1,#F0D288,
Surtur,10,1,#F0D288,
Suttungr,10,1,#F0D288,
Tarqeq,10,1,#F0D288,
Tarvos,10,1,#F0D288,
Telesto,10,1,#F0D288,7E+15
Tethys,10,1,#F0D288,6.18E+20
Thrymr,10,1,#F0D288,"209,813,580,633,607"
Titan,10,1,#F0D288,1.35E+23
Ymir,10,1,#F0D288,"4,945,605,829,220,740"
Ariel,10,1,#BAE1E2,1.29E+21
Belinda,10,1,#BAE1E2,"356,683,087,077,132,000"
Bianca,10,1,#BAE1E2,"92,917,442,852,026,000"
Caliban,10,1,#BAE1E2,"299,733,686,619,439,000"
Cordelia,10,1,#BAE1E2,"44,960,052,992,915,800"
Cressida,10,1,#BAE1E2,"343,195,071,179,257,000"
Cupid,10,1,#BAE1E2,
Desdemona,10,1,#BAE1E2,"178,341,543,538,566,000"
Ferdinand,10,1,#BAE1E2,"6,294,407,419,008,210"
Francisco,10,1,#BAE1E2,"8,392,543,225,344,280"
Juliet,10,1,#BAE1E2,"557,504,657,112,156,000"
Mab,10,1,#BAE1E2,
Margaret,10,1,#BAE1E2,"6,294,407,419,008,210"
Miranda,10,1,#BAE1E2,6.6E+19
Oberon,10,1,#BAE1E2,2.88E+21
Ophelia,10,1,#BAE1E2,"53,952,063,591,499,000"
Perdita,10,1,#BAE1E2,
Portia,10,1,#BAE1E2,"1,681,505,981,935,050,000"
Prospero,10,1,#BAE1E2,"98,912,116,584,414,800"
Puck,10,1,#BAE1E2,"2,893,928,744,310,680,000"
Rosalind,10,1,#BAE1E2,"254,773,633,626,523,000"
Setebos,10,1,#BAE1E2,"86,922,769,119,637,200"
Stephano,10,1,#BAE1E2,"25,477,363,362,652,300"
Sycorax,10,1,#BAE1E2,"2,697,603,179,574,950,000"
Titania,10,1,#BAE1E2,3.42E+21
Trinculo,10,1,#BAE1E2,"4,645,872,142,601,300"
Umbriel,10,1,#BAE1E2,1.22E+21
Despina,10,1,#4575FC,2E+18
Galatea,10,1,#4575FC,5E+18
Halimede,10,1,#4575FC,2E+17
Hippocamp,10,1,#4575FC,3E+16
Laomedeia,10,1,#4575FC,1E+17
Larissa,10,1,#4575FC,5E+18
Naiad,10,1,#4575FC,2E+17
Nereid,10,1,#4575FC,3E+19
Neso,10,1,#4575FC,2E+17
Proteus,10,1,#4575FC,5E+19
Psamathe,10,1,#4575FC,2E+16
Sao,10,1,#4575FC,1E+17
Thalassa,10,1,#4575FC,4E+17
Triton,10,1,#4575FC,2.14E+22
Charon,10,1,#c8bbad,"1,546,625,822,956,300,000,000"
Hydra,10,1,#c8bbad,"989,121,165,844,147,000"
Kerberos,10,1,#c8bbad,
Nix,10,1,#c8bbad,
Styx,10,1,#c8bbad,
Dysnomia,10,1,#635c59,
Namaka,10,1,#a6a19f,
Hi'iaka,10,1,#a6a19f,
